,time,sex,vegan,rest,games,series,books,english,USSR_lover,child_offence_Не били,child_offence_Разве что по делу,child_offence_Часто,dvach_Лучшая борда рунета,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Альтернативная,gender_Би,gender_Гетеро,antisemetism_Да,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Биология,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Мне всё равно,crimea_Отрицательно,crimea_Положительно,putin_good,rebel,Драма,Боевик,Аниме,Комедия,Фантастика,Исторический фильм,Детектив,Трагедия,Фильм ужасов
0,2019-09-06 23:22:11,1,2,1,1,1,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,True,False,True,True,True,True,True,True,False
1,2019-09-06 23:27:43,0,2,1,3,1,2,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,False,False,False,False,True,False,True,True,True
2,2019-09-06 23:30:07,1,2,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,True,False,True,True,False,True,False,False
3,2019-09-06 23:30:08,0,0,0,2,3,4,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,False,True,True,True,True,True,True,False,False
4,2019-09-06 23:31:38,0,1,1,6,4,3,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,True,True,True,True,False,True,True,False,True
5,2019-09-06 23:32:14,0,0,1,7,7,7,5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False
6,2019-09-06 23:33:29,0,0,1,2,5,5,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,True,True,True,True,True,True,True,True,True
7,2019-09-06 23:34:41,1,1,1,1,4,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,True,True,True,True,True,False,False,False,True
8,2019-09-06 23:34:49,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,True,False,False,False,False,False,False,False,False
9,2019-09-06 23:35:04,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,False,False,True,False,False,False,False,False,False
10,2019-09-06 23:35:52,0,2,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,False,True,False,False,True,False,False,True,True
11,2019-09-06 23:36:09,1,1,1,7,7,7,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,False,False,True,False,False,False,False,False,False
12,2019-09-06 23:37:03,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,False,True,False,True,True,True,False,False,True
13,2019-09-06 23:38:11,0,0,1,7,7,7,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,False,False,True,True,True,False,True,False,False
14,2019-09-06 23:38:16,0,1,1,2,2,0,5,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,True,False,False,False,True,False,False,True,True
15,2019-09-06 23:38:31,0,3,0,6,4,6,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,False,True,True,True,True,False,False,False,True
16,2019-09-06 23:39:54,0,0,1,4,5,4,5,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,False,True,False,True,True,False,True,False,True
